Country,GDP,Population: Labor force participation (%),Population,Unemployment rate,Tax revenue (%),Total tax rate,CPI,CPI Change (%),Fertility Rate,Birth Rate,Life expectancy,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Out of pocket health expenditure,GDP per Capita
Afghanistan,19101353833.0,0.489,38041754.0,0.1112,0.09300000000000001,0.7140000000000001,149.9,0.023,4.47,32.49,64.5,1.04,0.09699999999999999,0.784,502.11548691997746
Albania,15278077447.0,0.557,2854191.0,0.1233,0.18600000000000003,0.366,119.05,0.013999999999999999,1.62,11.78,78.5,1.07,0.55,0.569,5352.857411084262
Algeria,169988236398.0,0.41200000000000003,43053054.0,0.11699999999999999,0.37200000000000005,0.6609999999999999,151.36,0.02,3.02,24.28,76.7,1.099,0.514,0.281,3948.3432789227913
Andorra,3154057987.0,,77142.0,,,,,,1.27,7.2,,1.064,,0.364,40886.39116175365
Angola,94635415870.0,0.775,31825295.0,0.0689,0.092,0.491,261.73,0.171,5.52,40.73,60.8,1.135,0.09300000000000001,0.33399999999999996,2973.591159799147
Antigua and Barbuda,1727759259.0,,97118.0,,0.165,0.43,113.81,0.012,1.99,15.33,76.9,1.05,0.248,0.243,17790.309304145474
Argentina,449663446954.0,0.613,44938712.0,0.09789999999999999,0.10099999999999999,1.063,232.75,0.535,2.26,17.02,76.5,1.097,0.9,0.17600000000000002,10006.148973606541
Armenia,13672802158.0,0.556,2957731.0,0.1699,0.209,0.226,129.18,0.013999999999999999,1.76,13.99,74.9,0.927,0.546,0.816,4622.733493343377
Australia,1392680589329.0,0.655,25766605.0,0.0527,0.23,0.474,119.8,0.016,1.74,12.6,82.7,1.003,1.131,0.196,54049.8288124881
Austria,446314739528.0,0.607,8877067.0,0.0467,0.254,0.514,118.06,0.015,1.47,9.7,81.6,1.031,0.851,0.179,50277.27508736838
Azerbaijan,39207000000.0,0.665,10023318.0,0.055099999999999996,0.13,0.40700000000000003,156.32,0.026000000000000002,1.73,14.0,72.9,0.997,0.27699999999999997,0.7859999999999999,3911.5789801341234
The Bahamas,12827000000.0,0.746,389482.0,0.1036,0.14800000000000002,0.33799999999999997,116.22,0.025,1.75,13.97,73.8,0.8140000000000001,0.151,0.278,32933.48601475806
Bahrain,38574069149.0,0.7340000000000001,1501635.0,0.0070999999999999995,0.042,0.138,117.59,0.021,1.99,13.99,77.2,0.9940000000000001,0.505,0.251,25688.046129052665
Bangladesh,302571254131.0,0.59,167310838.0,0.04190000000000001,0.08800000000000001,0.33399999999999996,179.68,0.055999999999999994,2.04,18.18,72.3,1.165,0.20600000000000002,0.718,1808.4378618138294
Barbados,5209000000.0,0.652,287025.0,0.1033,0.275,0.35600000000000004,134.09,0.040999999999999995,1.62,10.65,79.1,0.9940000000000001,0.654,0.452,18148.24492640014
Belarus,63080457023.0,0.6409999999999999,9466856.0,0.045899999999999996,0.147,0.5329999999999999,,0.055999999999999994,1.45,9.9,74.2,1.005,0.8740000000000001,0.345,6663.295292861749
Belgium,529606710418.0,0.536,11484055.0,0.0559,0.24,0.5539999999999999,117.11,0.013999999999999999,1.62,10.3,81.6,1.0390000000000001,0.797,0.17600000000000002,46116.699233676605
